    5.00,     6.99,     4096,      8,      29.21
    5.00,     6.99,     4096,     32,      58.76
    5.00,     6.99,     4096,     64,      61.82
    5.00,     6.99,     4096,    128,      35.90
    5.00,     6.99,     4096,    256,      44.59
    5.00,     7.00,    16384,      8,     165.05
    5.00,     7.00,    16384,     32,     184.74
    5.00,     7.00,    16384,     64,     187.35
    5.00,     7.00,    16384,    128,     190.41
    5.00,     7.00,    16384,    256,     141.97
    5.00,     7.00,    65536,      8,     231.59
    5.00,     7.00,    65536,     32,     229.44
    5.00,     7.00,    65536,     64,     205.88
    5.00,     7.00,    65536,    128,     158.81
    5.00,     7.00,    65536,    256,     253.50
    5.00,     7.00,   262144,      8,     337.37
    5.00,     7.00,   262144,     32,     371.25
    5.00,     7.00,   262144,     64,     493.86
    5.00,     7.00,   262144,    128,     583.33
    5.00,     7.00,   262144,    256,     359.79
    5.00,     7.00,  1048576,      8,     954.97
    5.00,     7.00,  1048576,     32,    1464.49
    5.00,     7.00,  1048576,     64,    1199.94
    5.00,     7.00,  1048576,    128,    1620.61
    5.00,     7.00,  1048576,    256,    1401.12
    5.01,     7.00,  4194304,      8,    1829.25
    5.01,     7.00,  4194304,     32,    3075.77
    5.01,     7.00,  4194304,     64,    3629.15
    5.01,     7.00,  4194304,    128,    2871.85
    5.01,     7.00,  4194304,    256,    3684.92
